"","Part","Tarefa","num","Frase","Tamanho","Número","escala","Gênero","Idade","Nativo","Escolar"
"1",35,"experiment","22","No escritório da firma desapareceu um documento sigiloso.","curta","sing",NA,"Feminino",20,"Sim","Ensino Superior completo ou cursando"
"2",47,"experiment","26","Na bomba d’água surgiu um barulho esquisito.","curta","sing","4","Feminino",20,"Sim","Ensino Superior completo ou cursando"
"3",59,"experiment","12","Na praça central murchou rapidamente uma flor delicada.","longa","sing","2","Feminino",20,"Sim","Ensino Superior completo ou cursando"
"4",71,"experiment","25","No hospital universitário existe uns equipamentos moderníssimos.","curta","plur","5","Feminino",20,"Sim","Ensino Superior completo ou cursando"
"5",83,"experiment","17","No estádio olímpico ocorreu umas competições fantásticas.","curta","plur","5","Feminino",20,"Sim","Ensino Superior completo ou cursando"
"6",95,"experiment","18","Na cozinha do restaurante sumiu um equipamento caro.","curta","sing","4","Feminino",20,"Sim","Ensino Superior completo ou cursando"
"7",107,"experiment","20","Na secretaria da escola chegou ontem à noite uma encomenda inesperada.","longa","sing","4","Feminino",20,"Sim","Ensino Superior completo ou cursando"
"8",119,"experiment","19","Do estacionamento do prédio saiu subitamente uns carros importados.","longa","plur","4","Feminino",20,"Sim","Ensino Superior completo ou cursando"
"9",131,"experiment","23","No vaso da varanda brotou com muito vigor umas plantas desconhecidas.","longa","plur","1","Feminino",20,"Sim","Ensino Superior completo ou cursando"
"10",143,"experiment","24","No estábulo do sítio adoeceu devido ao frio uma vaca leiteira.","longa","sing","1","Feminino",20,"Sim","Ensino Superior completo ou cursando"
"11",155,"experiment","11","No solo adubado germinou ontem à tarde umas sementes desconhecidas.","longa","plur","1","Feminino",20,"Sim","Ensino Superior completo ou cursando"
"12",167,"experiment","13","No quintal da casa caiu uns balões gigantes.","curta","plur","5","Feminino",20,"Sim","Ensino Superior completo ou cursando"
"13",179,"experiment","16","Na pele da criança apareceu estranhamente uma mancha escura.","longa","sing","5","Feminino",20,"Sim","Ensino Superior completo ou cursando"
"14",191,"experiment","21","Na jardineira da janela floresceu umas rosas vermelhas.","curta","plur","5","Feminino",20,"Sim","Ensino Superior completo ou cursando"
"15",203,"experiment","15","No canteiro do jardim desabrochou repentinamente umas azaleias belíssimas.","longa","plur","5","Feminino",20,"Sim","Ensino Superior completo ou cursando"
"16",215,"experiment","14","Na escola municipal aconteceu uma reunião pedagógica.","curta","sing","5","Feminino",20,"Sim","Ensino Superior completo ou cursando"
"17",252,"experiment","24","No estábulo do sítio adoeceu devido ao frio uma vaca leiteira.","longa","sing","2","Feminino",46,"Sim","Pós-graduação"
"18",264,"experiment","26","Na bomba d’água surgiu um barulho esquisito.","curta","sing","3","Feminino",46,"Sim","Pós-graduação"
"19",276,"experiment","25","No hospital universitário existe uns equipamentos moderníssimos.","curta","plur","5","Feminino",46,"Sim","Pós-graduação"
"20",288,"experiment","16","Na pele da criança apareceu estranhamente uma mancha escura.","longa","sing","3","Feminino",46,"Sim","Pós-graduação"
"21",300,"experiment","12","Na praça central murchou rapidamente uma flor delicada.","longa","sing","1","Feminino",46,"Sim","Pós-graduação"
"22",312,"experiment","14","Na escola municipal aconteceu uma reunião pedagógica.","curta","sing","5","Feminino",46,"Sim","Pós-graduação"
"23",324,"experiment","18","Na cozinha do restaurante sumiu um equipamento caro.","curta","sing","5","Feminino",46,"Sim","Pós-graduação"
"24",336,"experiment","21","Na jardineira da janela floresceu umas rosas vermelhas.","curta","plur","5","Feminino",46,"Sim","Pós-graduação"
"25",348,"experiment","11","No solo adubado germinou ontem à tarde umas sementes desconhecidas.","longa","plur","2","Feminino",46,"Sim","Pós-graduação"
"26",360,"experiment","13","No quintal da casa caiu uns balões gigantes.","curta","plur","5","Feminino",46,"Sim","Pós-graduação"
"27",372,"experiment","19","Do estacionamento do prédio saiu subitamente uns carros importados.","longa","plur","4","Feminino",46,"Sim","Pós-graduação"
"28",384,"experiment","20","Na secretaria da escola chegou ontem à noite uma encomenda inesperada.","longa","sing","5","Feminino",46,"Sim","Pós-graduação"
"29",396,"experiment","17","No estádio olímpico ocorreu umas competições fantásticas.","curta","plur","5","Feminino",46,"Sim","Pós-graduação"
"30",408,"experiment","23","No vaso da varanda brotou com muito vigor umas plantas desconhecidas.","longa","plur","3","Feminino",46,"Sim","Pós-graduação"
"31",420,"experiment","15","No canteiro do jardim desabrochou repentinamente umas azaleias belíssimas.","longa","plur","3","Feminino",46,"Sim","Pós-graduação"
"32",432,"experiment","22","No escritório da firma desapareceu um documento sigiloso.","curta","sing","4","Feminino",46,"Sim","Pós-graduação"
"33",470,"experiment","22","No escritório da firma desapareceu sem explicação um documento sigiloso.","longa","sing","5","Masculino",36,"Sim","Pós-graduação"
"34",482,"experiment","12","Na praça central murchou uma flor delicada.","curta","sing","3","Masculino",36,"Sim","Pós-graduação"
"35",494,"experiment","20","Na secretaria da escola chegou uma encomenda inesperada.","curta","sing","5","Masculino",36,"Sim","Pós-graduação"
"36",506,"experiment","14","Na escola municipal aconteceu ontem de manhã uma reunião pedagógica.","longa","sing","5","Masculino",36,"Sim","Pós-graduação"
"37",518,"experiment","17","No estádio olímpico ocorreu ontem à tarde umas competições fantásticas.","longa","plur","5","Masculino",36,"Sim","Pós-graduação"
"38",530,"experiment","26","Na bomba d'água surgiu abruptamente um barulho esquisito.","longa","sing","4","Masculino",36,"Sim","Pós-graduação"
"39",542,"experiment","25","No hospital universitário existe no ambulatório uns equipamento moderníssimos.","longa","plur","5","Masculino",36,"Sim","Pós-graduação"
"40",554,"experiment","18","Na cozinha do restaurante sumiu ontem à noite um equipamento caro.","longa","sing","5","Masculino",36,"Sim","Pós-graduação"
"41",566,"experiment","13","No quintal da casa caiu abruptamente uns balões gigantes.","longa","plur","4","Masculino",36,"Sim","Pós-graduação"
"42",578,"experiment","21","Na jardineira da janela floresceu durante a tarde umas rosas vermelhas.","longa","plur",NA,"Masculino",36,"Sim","Pós-graduação"
"43",590,"experiment","23","No vaso da varanda brotou umas plantas desconhecidas.","curta","plur","5","Masculino",36,"Sim","Pós-graduação"
"44",602,"experiment","19","Do estacionamento do prédio saiu uns carros importados.","curta","plur","3","Masculino",36,"Sim","Pós-graduação"
"45",614,"experiment","11","No solo adubado germinou umas sementes desconhecidas.","curta","plur","5","Masculino",36,"Sim","Pós-graduação"
"46",626,"experiment","15","No canteiro do jardim desabrochou umas azaleias belíssimas.","curta","plur","5","Masculino",36,"Sim","Pós-graduação"
"47",638,"experiment","24","No estábulo do sítio adoeceu uma vaca leiteira.","curta","sing","5","Masculino",36,"Sim","Pós-graduação"
"48",650,"experiment","16","Na pele da criança apareceu uma mancha escura.","curta","sing","5","Masculino",36,"Sim","Pós-graduação"
"49",686,"experiment","24","No estábulo do sítio adoeceu devido ao frio umas vacas leiteiras.","longa","plur","4","Masculino",29,"Sim","Pós-graduação"
"50",698,"experiment","21","Na jardineira da janela floresceu uma rosa vermelha.","curta","sing","5","Masculino",29,"Sim","Pós-graduação"
"51",710,"experiment","12","Na praça central murchou rapidamente umas flores delicadas.","longa","plur","5","Masculino",29,"Sim","Pós-graduação"
"52",722,"experiment","20","Na secretaria da escola chegou ontem à noite umas encomendas inesperadas.","longa","plur","1","Masculino",29,"Sim","Pós-graduação"
"53",734,"experiment","13","No quintal da casa caiu um balão gigante.","curta","sing","3","Masculino",29,"Sim","Pós-graduação"
"54",746,"experiment","16","Na pele da criança apareceu estranhamente umas manchas escuras.","longa","plur","1","Masculino",29,"Sim","Pós-graduação"
"55",758,"experiment","14","Na escola municipal aconteceu umas reuniões pedagógicas.","curta","plur","1","Masculino",29,"Sim","Pós-graduação"
"56",770,"experiment","25","No hospital universitário existe um equipamento moderníssimo.","curta","sing","5","Masculino",29,"Sim","Pós-graduação"
"57",782,"experiment","26","Na bomba d’água surgiu uns barulhos esquisitos.","curta","plur","1","Masculino",29,"Sim","Pós-graduação"
"58",794,"experiment","22","No escritório da firma desapareceu uns documentos sigilosos.","curta","plur","1","Masculino",29,"Sim","Pós-graduação"
"59",806,"experiment","11","No solo adubado germinou ontem à tarde uma semente desconhecida.","longa","sing","5","Masculino",29,"Sim","Pós-graduação"
"60",818,"experiment","23","No vaso da varanda brotou com muito vigor uma planta desconhecida.","longa","sing","5","Masculino",29,"Sim","Pós-graduação"
"61",830,"experiment","17","No estádio olímpico ocorreu uma competição fantástica.","curta","sing","5","Masculino",29,"Sim","Pós-graduação"
"62",842,"experiment","19","Do estacionamento do prédio saiu subitamente um carro importado.","longa","sing","5","Masculino",29,"Sim","Pós-graduação"
"63",854,"experiment","15","No canteiro do jardim desabrochou repentinamente uma azaleia belíssima.","longa","sing","5","Masculino",29,"Sim","Pós-graduação"
"64",866,"experiment","18","Na cozinha do restaurante sumiu uns equipamentos caros.","curta","plur","5","Masculino",29,"Sim","Pós-graduação"
"65",899,"experiment","14","Na escola municipal aconteceu uma reunião pedagógica.","curta","sing","4","Feminino",20,"Sim","Ensino Superior completo ou cursando"
"66",911,"experiment","25","No hospital universitário existe uns equipamentos moderníssimos.","curta","plur","5","Feminino",20,"Sim","Ensino Superior completo ou cursando"
"67",923,"experiment","16","Na pele da criança apareceu estranhamente uma mancha escura.","longa","sing",NA,"Feminino",20,"Sim","Ensino Superior completo ou cursando"
"68",935,"experiment","21","Na jardineira da janela floresceu umas rosas vermelhas.","curta","plur","4","Feminino",20,"Sim","Ensino Superior completo ou cursando"
"69",947,"experiment","12","Na praça central murchou rapidamente uma flor delicada.","longa","sing","3","Feminino",20,"Sim","Ensino Superior completo ou cursando"
"70",959,"experiment","18","Na cozinha do restaurante sumiu um equipamento caro.","curta","sing","2","Feminino",20,"Sim","Ensino Superior completo ou cursando"
"71",971,"experiment","20","Na secretaria da escola chegou ontem à noite uma encomenda inesperada.","longa","sing",NA,"Feminino",20,"Sim","Ensino Superior completo ou cursando"
"72",983,"experiment","17","No estádio olímpico ocorreu umas competições fantásticas.","curta","plur","2","Feminino",20,"Sim","Ensino Superior completo ou cursando"
"73",995,"experiment","13","No quintal da casa caiu uns balões gigantes.","curta","plur","2","Feminino",20,"Sim","Ensino Superior completo ou cursando"
